1  	аа	8146	639	
2  	аб	646284	171	
3  	ав	1850439	72	
4  	аг	419810	228	
5  	ад	1139097	105	
6  	ае	917165	131	
7  	аё	4261	697	
8  	аж	651599	169	
9  	аз	1810274	74	
10  	аи	151719	340	
11  	ай	382889	236	
12  	ак	2444401	51	
13  	ал	4122610	14	
14  	ам	1870040	70	
15  	ан	3170297	30	
16  	ао	36533	499	
17  	ап	536209	196	
18  	ар	1698166	78	
19  	ас	2213300	59	
20  	ат	2864282	39	
21  	ау	104159	387	
22  	аф	106797	384	
23  	ах	592135	185	
24  	ац	396380	233	
25  	ач	612117	178	
26  	аш	506685	207	
27  	ащ	167434	335	
28  	аэ	13001	592	
29  	аю	618145	175	
30  	ая	1080275	108	
31  	ба	502297	208	
32  	бб	8787	629	
33  	бв	30279	515	
34  	бд	9311	622	
35  	бе	991249	123	
36  	бж	10259	613	
37  	бз	5506	669	
38  	би	498255	209	
39  	бк	61280	447	
40  	бл	516598	203	
41  	бм	22392	540	
42  	бн	201341	313	
43  	бо	1517618	82	
44  	бр	651266	170	
45  	бс	137643	352	
46  	бт	4612	688	
47  	бу	574863	187	
48  	бх	52016	464	
49  	бш	6928	648	
50  	бщ	197330	315	
51  	бъ	120811	371	
52  	бы	1470406	87	
53  	бь	18623	561	
54  	бэ	4705	685	
55  	бю	30515	514	
56  	бя	217984	303	
57  	ва	3485014	24	
58  	вб	6087	661	
59  	вв	38614	494	
60  	вг	28837	521	
61  	вд	140990	350	
62  	ве	2745369	44	
63  	вё	6884	650	
64  	вз	183028	327	
65  	ви	1687298	79	
66  	вк	216570	304	
67  	вл	691221	165	
68  	вм	81166	410	
69  	вн	837650	141	
70  	во	3679002	20	
71  	вп	131078	359	
72  	вр	461063	218	
73  	вс	1325448	94	
74  	вт	213790	307	
75  	ву	416928	230	
76  	вх	25145	533	
77  	вц	21138	549	
78  	вч	32868	508	
79  	вш	291736	264	
80  	вщ	12634	598	
81  	вы	1491179	85	
82  	вь	93451	396	
83  	вя	190874	318	
84  	га	767374	155	
85  	гб	4542	690	
86  	гв	11522	603	
87  	гг	8240	636	
88  	гд	527269	198	
89  	ге	328899	253	
90  	ги	610113	179	
91  	гк	57975	453	
92  	гл	600810	182	
93  	гм	11548	602	
94  	гн	125698	365	
95  	го	4087992	15	
96  	гр	658131	167	
97  	гс	13132	591	
98  	гт	9484	619	
99  	гу	322111	255	
100  	гч	15465	579	
101  	да	2555297	50	
102  	дб	17961	563	
103  	дв	417153	229	
104  	дг	26458	527	
105  	дд	40368	487	
106  	де	2799748	42	
107  	дё	11403	604	
108  	дж	79990	412	
109  	дз	19859	554	
110  	ди	1488226	86	
111  	дк	160034	336	
112  	дл	460217	219	
113  	дм	69025	430	
114  	дн	1039486	117	
115  	до	2157311	60	
116  	дп	101066	390	
117  	др	626853	173	
118  	дс	334671	250	
119  	дт	67583	436	
120  	ду	916890	132	
121  	дх	27720	525	
122  	дц	91529	398	
123  	дч	35448	503	
124  	дш	38910	493	
125  	дъ	19527	557	
126  	ды	377512	239	
127  	дь	224439	296	
128  	дю	12857	594	
129  	дя	185412	322	
130  	еа	125049	366	
131  	еб	577204	186	
132  	ев	1068095	111	
133  	ег	1408718	90	
134  	ед	1935815	65	
135  	ее	701614	162	
136  	её	14850	583	
137  	еж	462909	217	
138  	ез	752248	157	
139  	еи	76545	419	
140  	ей	1321751	95	
141  	ек	993048	122	
142  	ел	3106510	31	
143  	ёл	14113	588	
144  	ем	2338387	55	
145  	ём	18268	562	
146  	ен	5189907	6	
147  	ён	22181	545	
148  	ео	220445	301	
149  	еп	487579	212	
150  	ер	3638393	21	
151  	ёр	12077	599	
152  	ес	2878245	38	
153  	ет	3307969	27	
154  	ёт	25135	534	
155  	еу	55963	457	
156  	еф	90125	401	
157  	ех	356392	245	
158  	ец	207818	310	
159  	еч	616467	176	
160  	еш	434389	224	
